target_id	length	eff_length	est_counts	tpm
NR_001477	163	21.7989	0	0
NM_058260	705	440.006	0	0
NM_058259	372	134.442	0	0
NM_001306277	171	23.8129	0	0
NM_001306279	825	559.066	0	0
NM_001306278	1602	1335.82	0	0
NM_058261	1695	1428.82	0	0
NM_058262	1686	1419.82	0	0
NM_058263	1425	1158.82	0	0
NR_049898	21	1	0	0
NM_058264	732	466.8	0	0
NM_001026606	651	387.06	0	0
NM_058265	1341	1074.82	0	0
NM_001306235	942	675.907	0	0
NM_058267	3482	3215.82	0	0
NM_001306233	1875	1608.82	0	0
NM_001026607	1620	1353.82	0	0
NR_070190	40	12.2	0	0
NM_001306234	132	16.6243	0	0
NM_001306236	2412	2145.82	0	0
NM_058269	672	407.577	0	0
NM_182095	1245	978.82	0	0
NM_001306237	294	78.4591	0	0
NM_058270	312	88.532	0	0
NM_058271	1365	1098.82	0	0
NM_001261860	285	73.9797	0	0
NM_001306238	4536	4269.82	0	0
NM_001306239	4551	4284.82	0	0
NM_058274	636	372.401	0	0
NR_049899	221	41.241	0	0
NR_049900	149	19.0146	0	0
NM_058275	735	469.77	0	0
NR_049901	150	19.3868	0	0
NR_002606	134	17.2468	0	0
NM_001306336	759	493.615	0	0
NM_001083133	237	48.7979	0	0
NM_058277	534	275.105	0	0
NR_049902	21	1	0	0
NM_058278	984	717.82	0	0
NM_001306335	777	511.584	0	0
NM_058279	1539	1272.82	0	0
NM_058280	1332	1065.82	0	0
NM_001026318	1248	981.82	0	0
NM_001306334	543	283.539	0	0
NM_058282	1053	786.82	0	0
NM_058283	4512	4245.82	0	0
NM_058285	4494	4227.82	0	0
NM_001306284	2010	1743.82	0	0
NM_058286	2463	2196.82	0	0
NM_182061	1686	1419.82	0	0
NM_058287	1647	1380.82	0	0
NR_131341	1696	1429.82	0	0
NM_001129013	675	410.525	0	0
NM_058288	693	428.201	0	0
NM_058289	486	231.411	0	0
NM_001306285	7137	6870.82	0	0
NM_001306286	5106	4839.82	0	0
NM_001026605	960	693.82	0	0
NM_058294	957	690.82	0	0
NM_058301	3780	3513.82	0	0
NM_058302	336	106.034	0	0
NM_058305	1278	1011.82	0	0
NM_058307	1644	1377.82	0	0
NR_101513	117	17.637	0	0
NR_049904	21	1	0	0
NR_049905	21	1	0	0
NM_058308	222	41.7007	0	0
NM_058309	765	499.584	0	0
NM_001306291	456	204.514	0	0
NM_001306288	867	600.989	0	0
NM_001306287	906	639.989	0	0
NM_001306290	561	300.398	0	0
NM_001306289	972	705.82	0	0
NM_058310	1011	744.82	0	0
NM_058311	1263	996.82	0	0
NM_058312	1257	990.82	0	0
NM_001261901	1170	903.82	0	0
NM_182074	1068	801.82	0	0
NM_001306292	1791	1524.82	0	0
NM_058313	1929	1662.82	0	0
NM_058314	3279	3012.82	0	0
NM_001306332	588	326.267	0	0
NM_058315	2817	2550.82	0	0
NM_170793	2442	2175.82	0	0
NM_058318	1167	900.82	0	0
NM_001129071	1656	1389.82	0	0
NM_001129070	1695	1428.82	0	0
NM_058320	414	168.153	0	0
NM_058321	2868	2601.82	0	0
NM_058323	1752	1643.72	1	0.652757
NM_001306303	555	294.805	0	0
NM_058324	1335	1068.82	0	0
NM_058325	762	496.584	0	0
NM_058326	2139	1872.82	0	0
NM_058327	1572	1305.82	0	0
NM_001261918	1797	1530.82	0	0
NM_001261919	1800	1533.82	0	0
NM_058329	1929	1662.82	0	0
NM_001306333	1500	1233.82	0	0
NM_058330	1221	954.82	0	0
NM_058331	1497	1230.82	0	0
NM_001025812	3666	3399.82	0	0
NM_058333	453	201.925	0	0
