target_id	length	eff_length	est_counts	tpm
NR_001477	163	22.4786	0	0
NM_058260	705	439.393	0	0
NM_058259	372	135.535	0	0
NM_001306277	171	24.4759	0	0
NM_001306279	825	558.311	0	0
NM_001306278	1602	1334.76	0	0
NM_058261	1695	1427.76	0	0
NM_058262	1686	1418.76	0	0
NM_058263	1425	1157.76	0	0
NR_049898	21	2	0	0
NM_058264	732	466.067	0	0
NM_001026606	651	387.275	0	0
NM_058265	1341	1073.76	0	0
NM_001306235	942	674.874	0	0
NM_058267	3482	3214.76	0	0
NM_001306233	1875	1607.76	0	0
NM_001026607	1620	1352.76	0	0
NR_070190	40	16.8889	0	0
NM_001306234	132	18.4281	0	0
NM_001306236	2412	2144.76	0	0
NM_058269	672	407.596	0	0
NM_182095	1245	977.758	0	0
NM_001306237	294	79.6003	0	0
NM_058270	312	89.2068	0	0
NM_058271	1365	1097.76	0	0
NM_001261860	285	75.1136	0	0
NM_001306238	4536	4268.76	0	0
NM_001306239	4551	4283.76	0	0
NM_058274	636	373.142	0	0
NR_049899	221	41.5223	0	0
NR_049900	149	19.8206	0	0
NM_058275	735	469.067	0	0
NR_049901	150	20.1896	0	0
NR_002606	134	18.4006	0	0
NM_001306336	759	492.909	0	0
NM_001083133	237	49.1665	0	0
NM_058277	534	275.759	0	0
NR_049902	21	2	0	0
NM_058278	984	716.758	0	0
NM_001306335	777	510.746	0	0
NM_058279	1539	1271.76	0	0
NM_058280	1332	1064.76	0	0
NM_001026318	1248	980.758	0	0
NM_001306334	543	284.204	0	0
NM_058282	1053	785.758	0	0
NM_058283	4512	4244.76	0	0
NM_058285	4494	4226.76	0	0
NM_001306284	2010	1742.76	0	0
NM_058286	2463	2195.76	0	0
NM_182061	1686	1418.76	0	0
NM_058287	1647	1379.76	0	0
NR_131341	1696	1428.76	0	0
NM_001129013	675	410.362	0	0
NM_058288	693	427.712	0	0
NM_058289	486	232.224	0	0
NM_001306285	7137	6869.76	0	0
NM_001306286	5106	4838.76	0	0
NM_001026605	960	692.874	0	0
NM_058294	957	689.874	0	0
NM_058301	3780	3512.76	0	0
NM_058302	336	106.806	0	0
NM_058305	1278	1010.76	0	0
NM_058307	1644	1376.76	0	0
NR_101513	117	18.0156	0	0
NR_049904	21	2	0	0
NR_049905	21	2	0	0
NM_058308	222	41.9453	0	0
NM_058309	765	498.869	0	0
NM_001306291	456	205.568	0	0
NM_001306288	867	600.076	0	0
NM_001306287	906	638.874	0	0
NM_001306290	561	301.307	0	0
NM_001306289	972	704.874	0	0
NM_058310	1011	743.758	0	0
NM_058311	1263	995.758	0	0
NM_058312	1257	989.758	0	0
NM_001261901	1170	902.758	0	0
NM_182074	1068	800.758	0	0
NM_001306292	1791	1523.76	0	0
NM_058313	1929	1661.76	0	0
NM_058314	3279	3011.76	0	0
NM_001306332	588	326.718	0	0
NM_058315	2817	2549.76	0	0
NM_170793	2442	2174.76	0	0
NM_058318	1167	899.758	0	0
NM_001129071	1656	1388.76	0	0
NM_001129070	1695	1427.76	0	0
NM_058320	414	170.085	0	0
NM_058321	2868	2600.76	0	0
NM_058323	1752	1642.97	2	1.42359
NM_001306303	555	295.554	0	0
NM_058324	1335	1067.76	0	0
NM_058325	762	495.869	0	0
NM_058326	2139	1871.76	0	0
NM_058327	1572	1304.76	0	0
NM_001261918	1797	1529.76	0	0
NM_001261919	1800	1532.76	0	0
NM_058329	1929	1661.76	0	0
NM_001306333	1500	1232.76	0	0
NM_058330	1221	953.758	0	0
NM_058331	1497	1229.76	0	0
NM_001025812	3666	3398.76	0	0
NM_058333	453	202.989	0	0
NM_058334	1110	842.758	0	0
NR_131342	557	297.481	0	0
NM_058335	1338	1070.76	0	0
NM_001306256	552	292.773	0	0
NM_058336	1380	1112.76	0	0
NM_058337	309	87.4363	0	0
NM_001026495	2364	2096.76	0	0
NM_001306255	2166	1898.76	0	0
NM_001306265	747	481.067	0	0
NM_058339	900	632.925	0	0
NM_058340	975	707.874	0	0
NM_058341	1860	1592.76	0	0
NM_001306264	1725	1457.76	0	0
NM_001306268	519	261.651	0	0
NM_058342	645	381.651	0	0
NM_001306266	2031	1763.76	0	0
NM_058343	2160	1892.76	0	0
NM_001306267	2181	1913.76	0	0
NR_049907	150	20.1896	0	0
NM_001129077	129	18.413	0	0
NM_001129076	162	22.0847	0	0
NR_049910	112	19.011	0	0
NR_049911	289	77.1965	0	0
NM_001261937	282	73.3912	0	0
NR_131343	1131	863.758	0	0
NM_001306348	840	573.22	0	0
NR_101514	72	41.8182	0	0
NM_058347	582	320.904	0	0
NM_001306344	543	284.204	0	0
NM_001306345	144	19.7726	0	0
NM_058348	588	326.718	0	0
NM_182046	594	332.419	0	0
NR_049912	128	18.3803	0	0
NM_170794	2385	2117.76	0	0
NM_171831	2379	2111.76	0	0
NR_101515	157	20.9249	0	0
NM_001306342	1524	1256.76	0	0
NM_001306343	1518	1250.76	0	0
NM_058350	2730	2462.76	0	0
NR_049913	128	18.3803	0	0
NM_001306340	627	364.444	0	0
NM_001306341	669	404.629	0	0
NM_001306339	828	561.265	0	0
NM_058351	786	519.704	0	0
NM_001306337	657	392.988	0	0
NM_001306338	699	433.642	0	0
NM_058352	1134	866.758	0	0
NM_001026626	444	195.359	0	0
NM_001306346	1278	1010.76	0	0
NM_058353	1182	914.758	0	0
NM_182075	1362	1094.76	0	0
NM_001026333	576	315.138	0	0
NM_001306283	213	37.5564	0	0
NM_001261950	5604	5336.76	0	0
NM_001261951	5643	5375.76	0	0
NM_001306280	537	278.483	0	0
NM_001306282	957	689.874	0	0
NM_001306281	1182	914.758	0	0
NM_058356	1365	1097.76	0	0
NM_182059	2571	2303.76	0	0
NM_058357	2664	2396.76	0	0
NM_058358	375	137.773	0	0
NR_101516	213	37.5564	0	0
NR_101517	110	19.6835	6	356.478
NM_001306318	840	573.22	0	0
NM_058360	1200	932.758	0	0
NM_058361	627	364.444	0	0
NM_001306316	1308	1040.76	0	0
NM_001306317	1347	1079.76	0	0
NM_058362	1266	998.758	0	0
NM_001306319	288	76.6339	0	0
NM_058363	471	218.796	0	0
NM_058364	1329	1061.76	0	0
NM_058365	1386	1118.76	0	0
NM_001306320	1176	908.758	0	0
NM_001306321	618	355.768	0	0
NM_001026562	1404	1136.76	0	0
NM_001306249	585	323.771	0	0
NM_182093	819	552.311	0	0
NM_001306251	417	172.462	0	0
NM_001306250	651	387.275	0	0
NM_058367	1305	1037.76	0	0
NM_058368	1452	1184.76	0	0
NM_058369	663	398.923	0	0
NM_058370	813	546.444	0	0
NM_001306240	1830	1562.76	0	0
NM_001306241	2247	1979.76	0	0
NM_001306242	2904	2636.76	0	0
NM_001306243	3921	3653.76	0	0
NM_058371	3777	3509.76	0	0
NM_001306247	144	19.7726	0	0
NM_058372	1110	842.758	0	0
NM_058373	2034	1766.76	0	0
NM_001306245	1716	1448.76	0	0
NM_001306244	1185	917.758	0	0
NM_001306246	243	52.0395	0	0
NM_001026563	1965	1697.76	0	0
NM_001306254	210	35.9723	0	0
NM_001047236	906	638.874	0	0
NM_001306252	705	439.393	0	0
NM_001306253	519	261.651	0	0
NM_058375	1467	1199.76	0	0
NR_072346	85	39.125	0	0
NM_058376	456	205.568	0	0
NM_001306248	195	30.3554	0	0
NM_058377	504	248.074	0	0
NM_001026441	1366	1098.76	0	0
NM_001026440	1518	1250.76	0	0
NM_058379	1740	1472.76	0	0
NM_182009	1821	1553.76	0	0
NR_049918	221	41.5223	6	168.987
NR_049919	146	20.1578	0	0
NR_049921	123	17.6995	0	0
NR_049922	299	81.8658	0	0
NR_049923	144	19.7726	0	0
NM_001306304	4848	4580.76	0	0
NR_049926	183	27.2604	0	0
NR_049927	148	20.0813	0	0
NM_001306305	3762	3494.76	0	0
NR_049928	51	27.8889	0	0
NR_049929	271	67.1212	0	0
NM_001306306	3708	3440.76	0	0
NM_001306307	3414	3146.76	0	0
NM_001306308	3072	2804.76	0	0
NM_001306309	2187	1919.76	0	0
NM_058381	2193	1925.76	0	0
NM_001026671	1185	917.758	0	0
NM_058382	1605	1337.76	0	0
NM_182008	1611	1343.76	0	0
NR_049931	321	95.3747	24	294.281
NM_058384	2295	2027.76	0	0
NM_001306261	1461	1193.76	0	0
NM_058386	2283	2015.76	0	0
NR_051839	23	4	0	0
NM_001129083	2094	1826.76	0	0
NM_001306260	594	332.419	0	0
NM_001306259	900	632.925	0	0
NM_058387	594	332.419	0	0
NM_182019	312	89.2068	0	0
NM_001306263	324	97.6258	0	0
NM_001306262	1233	965.758	0	0
NM_058388	1242	974.758	0	0
NM_058389	1074	806.758	0	0
NM_001306257	381	142.611	0	0
NM_001306258	348	116.378	0	0
NR_101518	143	19.4084	0	0
NM_058390	843	576.22	0	0
NM_001037903	1866	1598.76	0	0
NM_001037904	1842	1574.76	0	0
NM_001129085	1869	1601.76	0	0
NM_001129086	1845	1577.76	0	0
NM_001129084	1887	1619.76	0	0
NM_001129087	1863	1595.76	0	0
NR_049932	150	20.1896	0	0
NM_058393	387	147.548	0	0
NM_058394	2058	1790.76	0	0
NR_050996	62	28.1587	2	83.062
NR_049935	91	34.9048	0	0
NM_001026573	1590	1322.76	0	0
NM_058395	1578	1310.76	0	0
NR_052806	91	34.9048	0	0
NM_001306322	531	272.941	0	0
NM_058397	1083	815.758	0	0
NM_058398	951	683.874	0	0
NM_058399	246	53.6179	0	0
NM_058400	231	46.2276	1	25.2978
NM_058401	159	21.6478	0	0
NM_058402	1275	1007.76	0	0
NM_058403	1140	1032.96	91	103.024
NR_049938	449	199.49	0	0
NR_049939	300	82.4773	0	0
NM_058404	1467	1233.4	57	54.045
NM_058405	828	544.045	29	62.3372
NM_058406	807	524.7	0	0
NM_001306269	171	24.4759	0	0
NM_170795	315	91.2774	13	166.558
NM_001026570	315	91.2774	1	12.8121
NM_058407	1242	998.157	546	639.702
NM_058408	1590	1610.1	131	95.1489
NM_001306323	2352	1968.36	6.73998	4.00442
NM_001306327	2343	1963.15	157.418	93.7748
NM_001306324	2133	1747.76	0	0
NM_001306328	2124	1742.55	0	0
NM_001306325	1116	779.301	10.842	16.2701
NM_001306326	528	286.129	0	0
NM_058410	1245	1141.97	84.4544	86.4871
NM_001306329	900	761.545	0	0
NM_001306330	232	46.71	15.5456	389.207
NM_058411	318	93.2985	189	2369.03
NM_001306331	303	84.2678	0	0
NM_001083150	387	147.548	68.0146	539.081
NM_001083151	537	359.898	111.985	363.887
NM_058415	1293	1223.48	1006	961.576
NM_058414	981	797.763	337	494.015
NM_058416	1137	949.231	3142	3870.96
NM_001306228	858	600.115	0	0
NM_058418	537	278.483	59	247.764
NM_001262029	393	152.402	8.52486	65.4157
NM_001262030	183	27.2604	11.4751	492.277
NM_058419	1176	976.537	385	461.059
NM_001306271	1467	1037.22	87	98.0918
NM_001306272	1278	851.2	0	0
NM_001306273	1320	812.834	25	35.9685
NR_052813	92	35.9048	0	0
NR_049941	83	42.5714	3	82.4114
NM_058422	690	448.07	141.008	368.03
NM_001306270	435	187.506	18.9916	118.449
NM_001306300	483	274.142	0.805272	3.43519
NM_001306299	1713	1365.97	46.222	39.5723
NM_001306298	2613	2398.49	0	0
NM_001306297	2649	2438.68	0	0
NM_001306296	3738	3556.44	465.973	153.225
NM_170798	579	306.872	145	552.58
NR_049942	177	25.8627	0	0
NR_049943	292	78.632	0	0
NM_170799	564	363.868	12898	41453.6
NM_171832	480	227.038	0	0
NM_058426	576	301.555	62	240.441
NM_001306302	204	33.4234	1.78985	62.6253
NM_001306301	1554	1377.3	0	0
NM_058427	2007	1833.02	121.21	77.3313
NM_058428	3210	3055.12	1972	754.854
NR_131344	861	408.465	68	194.687
NM_058429	2055	1757.07	1403.57	934.175
NM_001306293	1455	1126.42	0	0
NM_001306294	861	529.871	0	0
NM_001306295	549	289.894	163.43	659.289
NM_058433	3060	2782.83	884.323	371.628
NM_001262043	171	24.4759	3.30648	157.983
NM_058434	237	49.1665	13.6935	325.709
NM_001306507	549	265.28	603.533	2660.61
NM_058435	837	578.172	9915.47	20055.8
NM_001306503	2067	1666.84	0	0
NM_001306504	1932	1554	0	0
NM_001306505	1515	1219.74	0	0
NM_001306506	642	359.757	9.67705	31.4571
NM_001026608	420	174.878	50	334.364
NM_001306483	573	345.511	42.7018	144.533
NM_001306482	1692	1444.25	490.09	396.842
NM_058436	1692	1452.3	818.208	658.857
NR_049945	235	47.9883	22.5841	550.367
NR_049946	131	18.2401	3.41587	219.007
NR_049947	49	25.9802	9.98542	449.478
NR_049948	49	25.8889	0.014577	0.658475
NM_058437	1020	861.436	267	362.47
